PC1,PC2,file_id,dominant_sentiment,communication_pattern
0.6818386967736437,-0.3133348572743799,4360366,negative,mixed_pattern
0.01492492506903664,0.09056519046518752,4386541,neutral,mixed_pattern
-0.8274601984030989,-0.7611728145042769,4384964,negative,mixed_pattern
1.106525264185494,0.8468536274326914,4341191,negative,high_excitement
0.8532463216583359,-0.29322908828896577,4363614,negative,moderate_stress
-0.8424882233571894,-0.5681981820628502,4360717,negative,mixed_pattern
0.004729449198008967,1.4567835577673864,4359971,neutral,moderate_excitement
0.9795309354796033,-0.10305266506220742,4364366,negative,mixed_pattern
-0.47578933792380246,0.9127883384302191,4384198,neutral,mixed_pattern
-1.1528799147779378,0.30280065262774375,4374910,negative,mixed_pattern
-0.46644553446409326,-1.1304171562389183,4397829,neutral,baseline_stability
-0.11714493432785213,0.4987311537475699,4344866,negative,moderate_stress
-0.7651327274724898,0.1790388632296774,4368670,negative,mixed_pattern
-0.7232457276454707,-0.7861465321219827,4346923,negative,baseline_stability
-0.8008505175692964,0.9798199900759371,4344338,neutral,baseline_stability
0.5227955784237269,-0.9398737676050515,4346818,negative,baseline_stability
-0.36443499936708923,-0.9161911020303285,4360674,neutral,baseline_stability
0.06713169018612089,0.1264554282165768,4375653,neutral,mixed_pattern
1.6096319428141797,-0.39281805352983556,4361631,negative,high_stress
0.13142786776436802,-1.1286031053964836,4382825,negative,mixed_pattern
-1.1304626838593446,0.8110430348816083,4365948,neutral,mixed_pattern
0.8125770336965408,0.7187743488930627,4385939,negative,moderate_stress
-0.3142826674932176,0.03227937867372994,4383161,neutral,baseline_stability
1.1962577614118262,0.37710375967389115,4384683,negative,moderate_stress
