,f0_cv,f0_std,pause_frequency,jitter_local,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability,acoustic_semantic_alignment,is_downgrade,is_upgrade,is_affirm
f0_cv,0.0,0.04529559557961745,0.0074962883309718405,0.020944992982223853,0.5213944968569363,0.736741035171825,0.7912191029090297,0.8216741691823366,0.925551829830969,0.7175134853201267,0.5213944968569363,0.9920325206918195
f0_std,0.04529559557961745,0.0,0.5213944968569363,0.7175134853201267,0.9920325206918195,0.7175134853201267,0.7175134853201267,0.795959019590999,0.925551829830969,0.9920325206918195,0.5213944968569363,0.736741035171825
pause_frequency,0.0074962883309718405,0.5213944968569363,0.0,0.4315671786009884,0.9443289373185184,0.9443289373185184,0.9443289373185184,0.835202783684708,0.7900069051217622,0.7503329396907811,0.5656896078170195,0.5213944968569363
jitter_local,0.020944992982223853,0.7175134853201267,0.4315671786009884,0.0,0.1689354566888689,0.7175134853201267,0.795959019590999,0.5830199376007801,0.5213944968569363,0.925551829830969,0.5213944968569363,0.795959019590999
sentiment_positive,0.5213944968569363,0.9920325206918195,0.9443289373185184,0.1689354566888689,0.0,0.34468993023177696,0.5213944968569363,0.0074962883309718405,0.9581212797587553,0.8273244358832432,0.7590817086298287,0.7175134853201267
sentiment_negative,0.736741035171825,0.7175134853201267,0.9443289373185184,0.7175134853201267,0.34468993023177696,0.0,1.7304089974319123e-19,0.0006227377998449108,0.18469564806459948,0.8273244358832432,0.4315671786009884,0.5213944968569363
sentiment_neutral,0.7912191029090297,0.7175134853201267,0.9443289373185184,0.795959019590999,0.5213944968569363,1.7304089974319123e-19,0.0,0.0030386082285559332,0.16293009605598843,0.835202783684708,0.4315671786009884,0.5213944968569363
sentiment_variability,0.8216741691823366,0.795959019590999,0.835202783684708,0.5830199376007801,0.0074962883309718405,0.0006227377998449108,0.0030386082285559332,0.0,0.5213944968569363,0.9443289373185184,0.4315671786009884,0.7175134853201267
acoustic_semantic_alignment,0.925551829830969,0.925551829830969,0.7900069051217622,0.5213944968569363,0.9581212797587553,0.18469564806459948,0.16293009605598843,0.5213944968569363,0.0,0.9443289373185184,0.555980922642481,0.8184977837598287
is_downgrade,0.7175134853201267,0.9920325206918195,0.7503329396907811,0.925551829830969,0.8273244358832432,0.8273244358832432,0.835202783684708,0.9443289373185184,0.9443289373185184,0.0,0.925551829830969,9.99922491738608e-05
is_upgrade,0.5213944968569363,0.5213944968569363,0.5656896078170195,0.5213944968569363,0.7590817086298287,0.4315671786009884,0.4315671786009884,0.4315671786009884,0.555980922642481,0.925551829830969,0.0,0.0428641683045518
is_affirm,0.9920325206918195,0.736741035171825,0.5213944968569363,0.795959019590999,0.7175134853201267,0.5213944968569363,0.5213944968569363,0.7175134853201267,0.8184977837598287,9.99922491738608e-05,0.0428641683045518,0.0
